County_Index,State_Code,SVI,Metro
1,AL ,Low-Mod,Metro
2,AL ,Low,Metro
3,AL ,High,Non-metro
4,AL ,Mod-High,Metro
5,AL ,Low-Mod,Metro
6,AL ,High,Non-metro
7,AL ,High,Non-metro
8,AL ,High,Metro
9,AL ,Mod-High,Non-metro
10,AL ,Low-Mod,Non-metro
11,AL ,High,Metro
12,AL ,High,Non-metro
13,AL ,High,Non-metro
14,AL ,Mod-High,Non-metro
15,AL ,Mod-High,Non-metro
16,AL ,Mod-High,Non-metro
17,AL ,Low-Mod,Metro
18,AL ,High,Non-metro
19,AL ,Mod-High,Non-metro
20,AL ,High,Non-metro
21,AL ,Mod-High,Non-metro
22,AL ,Mod-High,Non-metro
23,AL ,High,Non-metro
24,AL ,High,Non-metro
25,AL ,High,Non-metro
26,AL ,Mod-High,Metro
27,AL ,High,Non-metro
28,AL ,Mod-High,Metro
29,AL ,Mod-High,Non-metro
30,AL ,High,Non-metro
31,AL ,High,Metro
32,AL ,High,Non-metro
33,AL ,High,Metro
34,AL ,Mod-High,Metro
35,AL ,Mod-High,Metro
36,AL ,Mod-High,Non-metro
37,AL ,Mod-High,Metro
38,AL ,Mod-High,Non-metro
39,AL ,Low-Mod,Metro
40,AL ,Low-Mod,Metro
41,AL ,Mod-High,Metro
42,AL ,Mod-High,Metro
43,AL ,High,Metro
44,AL ,High,Non-metro
45,AL ,Low-Mod,Metro
46,AL ,High,Non-metro
47,AL ,Mod-High,Non-metro
48,AL ,Mod-High,Non-metro
49,AL ,High,Metro
50,AL ,Mod-High,Non-metro
51,AL ,High,Metro
52,AL ,Mod-High,Metro
53,AL ,High,Non-metro
54,AL ,High,Metro
55,AL ,High,Non-metro
56,AL ,Mod-High,Non-metro
57,AL ,High,Metro
58,AL ,Low,Metro
59,AL ,Low-Mod,Metro
60,AL ,High,Non-metro
61,AL ,High,Non-metro
62,AL ,High,Non-metro
63,AL ,Mod-High,Metro
64,AL ,Mod-High,Metro
65,AL ,Mod-High,Non-metro
66,AL ,High,Non-metro
67,AL ,Mod-High,Non-metro
68,AK ,Mod-High,Non-metro
69,AK ,Low-Mod,Non-metro
70,AK ,Low-Mod,Metro
71,AK ,High,Non-metro
72,AK ,Low-Mod,Non-metro
73,AK ,,
74,AK ,,
75,AK ,Low,Non-metro
76,AK ,High,Non-metro
77,AK ,Low-Mod,Metro
78,AK ,Low,Non-metro
79,AK ,Low-Mod,Non-metro
80,AK ,Low-Mod,Non-metro
81,AK ,Low-Mod,Non-metro
82,AK ,Mod-High,Non-metro
83,AK ,Mod-High,Non-metro
84,AK ,High,Non-metro
85,AK ,High,Non-metro
86,AK ,Low-Mod,Metro
87,AK ,High,Non-metro
88,AK ,Mod-High,Non-metro
89,AK ,High,Non-metro
90,AK ,Mod-High,Non-metro
91,AK ,High,Non-metro
92,AK ,Low-Mod,Non-metro
93,AK ,Low,Non-metro
94,AK ,Mod-High,Non-metro
95,AK ,Low-Mod,
96,AK ,Mod-High,Non-metro
97,AK ,Mod-High,Non-metro
98,AK ,High,Non-metro
99,AZ ,High,Non-metro
100,AZ ,High,Metro
101,AZ ,Mod-High,Metro
102,AZ ,High,Non-metro
103,AZ ,High,Non-metro
104,AZ ,Mod-High,Non-metro
105,AZ ,High,Non-metro
106,AZ ,Mod-High,Metro
107,AZ ,High,Metro
108,AZ ,High,Non-metro
109,AZ ,High,Metro
110,AZ ,High,Metro
111,AZ ,High,Non-metro
112,AZ ,Mod-High,Metro
113,AZ ,High,Metro
114,AR ,High,Non-metro
115,AR ,High,Non-metro
116,AR ,Low-Mod,Non-metro
117,AR ,Low-Mod,Metro
118,AR ,Low-Mod,Non-metro
119,AR ,High,Non-metro
120,AR ,Mod-High,Non-metro
121,AR ,Mod-High,Non-metro
122,AR ,High,Non-metro
123,AR ,High,Non-metro
124,AR ,Mod-High,Non-metro
125,AR ,Low,Non-metro
126,AR ,Mod-High,Metro
127,AR ,High,Non-metro
128,AR ,High,Non-metro
129,AR ,High,Metro
130,AR ,Mod-High,Metro
131,AR ,High,Metro
132,AR ,Mod-High,Non-metro
133,AR ,High,Non-metro
134,AR ,High,Non-metro
135,AR ,High,Non-metro
136,AR ,Low-Mod,Metro
137,AR ,Mod-High,Non-metro
138,AR ,Mod-High,Non-metro
139,AR ,High,Metro
140,AR ,Low-Mod,Metro
141,AR ,Mod-High,Non-metro
142,AR ,High,Non-metro
143,AR ,High,Non-metro
144,AR ,High,Non-metro
145,AR ,High,Non-metro
146,AR ,Mod-High,Non-metro
147,AR ,High,Non-metro
148,AR ,High,Metro
149,AR ,High,Non-metro
150,AR ,High,Non-metro
151,AR ,Mod-High,Non-metro
152,AR ,High,Non-metro
153,AR ,High,Metro
154,AR ,Mod-High,Metro
155,AR ,High,Non-metro
156,AR ,Low-Mod,Metro
157,AR ,Mod-High,Metro
158,AR ,Mod-High,Non-metro
159,AR ,High,Metro
160,AR ,High,Non-metro
161,AR ,High,Non-metro
