COVID-19 Vaccinations Equity
Date generated: Sat Mar 12 2022 13:29:15 GMT-0500 (北美东部标准时间)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 5+ pop fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Autauga County,AL ,Low-Mod,92.4,43.6,46.4,50.2,51.9,70.8
Baldwin County,AL ,Low,92.4,50.3,53.2,57.6,60,82.9
Barbour County,AL ,High,92.4,44.8,47.3,51,52.9,71.8
Bibb County,AL ,Mod-High,92.4,34.5,36.5,39.2,40.7,61.4
Blount County,AL ,Low-Mod,92.4,31.4,33.4,36.6,38.6,53.7
Bullock County,AL ,High,92.4,52.5,55.6,60,60.9,79.7
Butler County,AL ,High,92.4,39.1,41.5,45.1,47,65.1
Calhoun County,AL ,High,92.4,46.4,49.3,53.5,56,79.9
Chambers County,AL ,Mod-High,92.4,31.1,33,35.8,37.3,50.8
Cherokee County,AL ,Low-Mod,92.4,30.4,31.8,34.3,36.2,52.4
Chilton County,AL ,High,92.4,36,38.4,42.2,44.2,65.7
Choctaw County,AL ,High,92.4,65.5,69.1,74,78,95
Clarke County,AL ,High,92.4,50.8,53.9,58.1,60.6,79.2
Clay County,AL ,Mod-High,92.4,41.4,43.7,47.4,49.5,67.9
Cleburne County,AL ,Mod-High,92.4,28.5,30.3,33.1,35.2,51.8
Coffee County,AL ,Mod-High,92.4,46.8,49.9,54.7,57.4,78.8
Colbert County,AL ,Low-Mod,92.4,47.7,50.6,54.7,56.7,77.8
Conecuh County,AL ,High,92.4,43.3,45.8,49.5,51.7,65.8
Coosa County,AL ,Mod-High,92.4,40.3,42.1,44.8,46.4,65.3
Covington County,AL ,High,92.4,37.9,40.3,44,46.4,66.1
Crenshaw County,AL ,Mod-High,92.4,34.2,36.3,39.7,42.1,64.1
Cullman County,AL ,Mod-High,92.4,38,40.5,44.3,46.9,70.2
Dale County,AL ,High,92.4,47.4,50.8,55.4,58.2,73.9
Dallas County,AL ,High,92.4,44.9,47.7,52.4,54.6,72.4
DeKalb County,AL ,High,92.4,33.5,35.6,39.2,41.6,59.8
Elmore County,AL ,Mod-High,92.4,45.8,48.7,53,55.6,85
Escambia County,AL ,High,92.4,36.1,38.4,42,44.4,71.6
Etowah County,AL ,Mod-High,92.4,40.7,43.2,46.8,49,70.6
Fayette County,AL ,Mod-High,92.4,34.7,36.7,39.9,41.9,60.4
Franklin County,AL ,High,92.4,43.3,46.4,51.4,54.6,79.4
Geneva County,AL ,High,92.4,40,42.3,46.3,49.4,73.4
Greene County,AL ,High,92.4,50.4,53.4,57.6,59.5,74
Hale County,AL ,High,92.4,60.9,65.3,70.8,72.7,84.3
Henry County,AL ,Mod-High,92.4,45.1,47.6,51.3,54.2,73
Houston County,AL ,Mod-High,92.4,42.8,45.7,49.8,52.4,74.7
Jackson County,AL ,Mod-High,92.4,48.8,51.6,55.8,58.7,85
Jefferson County,AL ,Mod-High,92.4,57.4,61.4,66.3,68.2,89.6
Lamar County,AL ,Mod-High,92.4,43.6,46.2,50.2,53.5,77.8
Lauderdale County,AL ,Low-Mod,92.4,46.2,48.7,52.2,54.6,76.1
Lawrence County,AL ,Low-Mod,92.4,46.9,49.6,54.1,57.3,83.6
Lee County,AL ,Mod-High,92.4,39.8,42.3,45.2,46.5,65.4
Limestone County,AL ,Mod-High,92.4,38.7,41,44.5,46.7,69.2
Lowndes County,AL ,High,92.4,50.4,53.6,58.4,60,78.7
Macon County,AL ,High,92.4,47.4,49.8,52.6,53.3,71.6
Madison County,AL ,Low-Mod,92.4,61.2,65,69.4,70.9,89.5
Marengo County,AL ,High,92.4,54.1,57.6,62.5,65,82.3
Marion County,AL ,Mod-High,92.4,36.2,38.2,41.4,43.9,62.8
Marshall County,AL ,Mod-High,92.4,45.2,48.8,53.6,56.8,80.6
Mobile County,AL ,High,92.4,49.1,52.6,57.3,59.6,79.7
Monroe County,AL ,Mod-High,92.4,43.3,45.6,49.2,51.5,65.2
Montgomery County,AL ,High,92.4,51.5,55.2,59.9,61.6,81
Morgan County,AL ,Mod-High,92.4,43.3,46.1,50.3,53.1,76.8
Perry County,AL ,High,92.4,48.2,51.1,55.1,56.3,71.8
Pickens County,AL ,High,92.4,48.9,51.5,55.5,57.5,73.7
Pike County,AL ,High,92.4,41.8,44.1,47,47.8,80.5
Randolph County,AL ,Mod-High,92.4,32.6,34.5,37.6,40,61.4
Russell County,AL ,High,92.4,40.5,43.5,46.9,47.9,70.8
Shelby County,AL ,Low,92.4,35.9,38.1,41.2,42.4,51.3
St. Clair County,AL ,Low-Mod,92.4,38.8,41.2,44.9,47.2,70.1
Sumter County,AL ,High,92.4,50.7,53.7,56.8,57.6,82.1
Talladega County,AL ,High,92.4,36.3,38.3,41.6,43.6,64.3
Tallapoosa County,AL ,High,92.4,38.3,40.4,43.9,45.8,65.6
Tuscaloosa County,AL ,Mod-High,92.4,43.3,46.1,49.6,50.7,76.1
Walker County,AL ,Mod-High,92.4,46.8,49.9,54.5,57.4,82.7
Washington County,AL ,Mod-High,92.4,45.7,48.3,52.7,56.1,80.7
Wilcox County,AL ,High,92.4,53.4,57,61.8,63.9,81.9
Winston County,AL ,Mod-High,92.4,21.8,23,25,26.5,39.9
Aleutians East Borough,AK ,Mod-High,97.6,75,76.5,77.2,75.5,48.7
Aleutians West CA,AK ,Low-Mod,97.6,62.4,64.5,66.3,65.9,58.9
Anchorage Muny,AK ,Low-Mod,97.6,66.7,71.6,76.7,78.2,92.9
Bethel CA,AK ,High,97.6,65.9,73.9,80.6,80.4,85.3
Bristol Bay Borough,AK ,Low-Mod,97.6,95,95,95,95,87.5
Chugach Census Area,AK ,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Copper River Census Area,AK ,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denali Borough,AK ,Low,97.6,53.8,56.4,59.7,60.4,80.3
Dillingham CA,AK ,High,97.6,52,57.6,63.3,62.9,74.9
Fairbanks North Star Borough,AK ,Low-Mod,97.6,59.5,64.2,69.6,71.2,78.7
Haines Borough,AK ,Low,97.6,67.7,70.9,74.3,76.7,86.3
Hoonah-Angoon CA,AK ,Low-Mod,97.6,69.6,72.9,75.4,74.8,80.8
Juneau Cty&Bor,AK ,Low-Mod,97.6,76.3,80.8,84.5,84.6,95
Kenai Peninsula Borough,AK ,Low-Mod,97.6,47.9,50.9,54.9,57.2,76.1
Ketchikan Gateway Borough,AK ,Mod-High,97.6,65.2,69,73.7,74.8,86.3
Kodiak Island Borough,AK ,Mod-High,97.6,64.6,69.7,75.3,75.9,93
Kusilvak Census Area,AK ,High,97.6,65.8,75.7,86.3,85.1,91.5
Lake and Peninsula Borough,AK ,High,97.6,57.1,63.3,66.5,66.7,74.9
Matanuska-Susitna Borough,AK ,Low-Mod,97.6,40.2,43.1,47.3,49.2,69.2
Nome CA,AK ,High,97.6,70.1,77.8,85,84.9,90.7
North Slope Borough,AK ,Mod-High,97.6,38.5,41.8,45.1,44.4,59.9
Northwest Arctic Borough,AK ,High,97.6,59.9,67,75.2,75.8,89
Petersburg CA,AK ,Mod-High,97.6,75.3,79.5,84,84.7,92.8
Prince of Wales-Hyder CA,AK ,High,97.6,53.2,56.1,59.6,60.2,70.7
Sitka Cty&Bor,AK ,Low-Mod,97.6,78.2,82.3,86.8,86.6,92.1
Skagway Muny,AK ,Low,97.6,69.9,73.3,78,76.4,79.7
Southeast Fairbanks CA,AK ,Mod-High,97.6,40.3,43.6,48.1,50.1,67.6
Valdez-Cordova Census Area,AK ,Low-Mod,97.6,62.6,67.1,72.1,74.9,81.8
Wrangell Cty&Bor,AK ,Mod-High,97.6,57.7,60.2,64.7,66.1,68.7
Yakutat Cty&Bor,AK ,Mod-High,97.6,78.2,82.5,86.4,86.4,88.5
Yukon-Koyukuk CA,AK ,High,97.6,76.6,83,89.7,89.3,92.8
Apache County,AZ ,High,97.7,95,95,95,95,95
Cochise County,AZ ,High,97.7,63.4,67.3,71.1,72.3,78.7
Coconino County,AZ ,Mod-High,97.7,76,80.2,84.8,84.1,95
Gila County,AZ ,High,97.7,58.5,61.7,65.7,67.1,73.1
Graham County,AZ ,High,97.7,62.9,67.7,73.8,76.2,95
Greenlee County,AZ ,Mod-High,97.7,43.7,47.4,51.7,54.8,72.3
La Paz County,AZ ,High,97.7,47.9,50.2,52.4,52.3,56.6
Maricopa County,AZ ,Mod-High,97.7,56.4,60.1,64.6,66.2,83.6
Mohave County,AZ ,High,97.7,41,42.8,45.5,47.4,62.4
Navajo County,AZ ,High,97.7,76.1,81.6,86.7,84.6,94.5
Pima County,AZ ,High,97.7,67.8,71.7,75.5,76.5,93.5
Pinal County,AZ ,High,97.7,53,56,60.2,61.8,75.9
Santa Cruz County,AZ ,High,97.7,95,95,95,95,95
Yavapai County,AZ ,Mod-High,97.7,46.2,48.1,50.8,52.6,69.4
Yuma County,AZ ,High,97.7,69,74.2,78.7,79.3,76.3
Arkansas County,AR ,High,90.5,55.2,59,64.1,65.9,78.8
Ashley County,AR ,High,90.5,49.6,52.5,57.2,59.2,77.8
Baxter County,AR ,Low-Mod,90.5,46.6,48.8,52,54,68.4
Benton County,AR ,Low-Mod,90.5,52.8,56.7,60.7,61.6,74
Boone County,AR ,Low-Mod,90.5,37,39.4,43,45,64.9
Bradley County,AR ,High,90.5,56.4,60,66.2,68.2,82
Calhoun County,AR ,Mod-High,90.5,36.8,38.6,41.7,43.1,56.5
Carroll County,AR ,Mod-High,90.5,47.1,49.9,54,56.2,66.7
Chicot County,AR ,High,90.5,54.1,57.2,62.4,64.7,85.7
Clark County,AR ,High,90.5,48.4,51.1,54.5,54.9,83.9
Clay County,AR ,Mod-High,90.5,45.3,48,52,54,74.1
Cleburne County,AR ,Low,90.5,44.1,46.2,49.5,51.5,70.3
Cleveland County,AR ,Mod-High,90.5,52.4,55.3,59.4,61.9,72
Columbia County,AR ,High,90.5,48.2,51.1,54.8,55.8,77.1
Conway County,AR ,High,90.5,53.4,56.8,60.9,62.4,77.9
Craighead County,AR ,High,90.5,44.9,48.3,52.3,53.5,71.4
Crawford County,AR ,Mod-High,90.5,45.3,48.4,52.7,54.5,71.5
Crittenden County,AR ,High,90.5,44.2,47.9,52.8,54.7,67.2
Cross County,AR ,Mod-High,90.5,50.6,53.9,59.2,61.1,76.1
Dallas County,AR ,High,90.5,56.1,59.2,64.3,65.2,74.6
Desha County,AR ,High,90.5,59.5,63.1,68.9,71.6,87.3
Drew County,AR ,High,90.5,47.7,50.8,54.5,55.4,69.8
Faulkner County,AR ,Low-Mod,90.5,50.9,54.1,57.9,58.6,83.8
Franklin County,AR ,Mod-High,90.5,48.3,51.1,55.4,57.3,72.8
Fulton County,AR ,Mod-High,90.5,32.2,34,36.8,38.5,46.9
Garland County,AR ,High,90.5,45,47.6,50.7,51.6,71.7
Grant County,AR ,Low-Mod,90.5,45.5,48,52.3,54.3,70.1
Greene County,AR ,Mod-High,90.5,42.7,45.7,49.9,51.8,71.5
Hempstead County,AR ,High,90.5,39.8,42.8,47.1,49.8,58.3
Hot Spring County,AR ,High,90.5,42.3,44.5,47.7,48.8,66.8
Howard County,AR ,High,90.5,53.9,58,64.8,69,82.1
Independence County,AR ,High,90.5,40.8,43.7,47.5,49.3,67
Izard County,AR ,Mod-High,90.5,37.6,39.2,41.6,42.3,50.9
Jackson County,AR ,High,90.5,38.5,40.8,43.8,45.3,69.6
Jefferson County,AR ,High,90.5,44,46.8,49.7,50.8,66.9
Johnson County,AR ,High,90.5,48.6,52,57,59,70.8
Lafayette County,AR ,High,90.5,41.3,43.4,46.4,48.5,57.4
Lawrence County,AR ,Mod-High,90.5,46.3,49.3,53.4,55.5,77
Lee County,AR ,High,90.5,33.4,35.2,37.5,39.1,65.3
Lincoln County,AR ,High,90.5,34.8,36.2,38.3,38.8,66.9
Little River County,AR ,Mod-High,90.5,39.2,41.6,45.4,48.2,70
Logan County,AR ,High,90.5,46.6,49.4,53.3,55.2,73.2
Lonoke County,AR ,Low-Mod,90.5,47.2,50.5,55.4,56.9,80.2
Madison County,AR ,Mod-High,90.5,42.8,45.6,49.2,51.2,67.6
Marion County,AR ,Mod-High,90.5,35.6,37.3,40.1,41.9,54.4
Miller County,AR ,High,90.5,31,33.1,36.4,38.4,55.8
Mississippi County,AR ,High,90.5,40.6,43.7,48.2,50.7,72
Monroe County,AR ,High,90.5,55.2,58.6,63.2,64,72.2
Montgomery County,AR ,Mod-High,90.5,36,38,40.6,42.6,59.5
Nevada County,AR ,High,90.5,43.3,46.1,50.2,52.6,61.1
Newton County,AR ,Low-Mod,90.5,33.5,35.3,37.8,39.9,54.5
Ouachita County,AR ,High,90.5,53.9,57.2,61.9,63.8,76.6
Perry County,AR ,Mod-High,90.5,51.3,54.6,59.1,60.8,77.5
Phillips County,AR ,High,90.5,49,53.1,58,60.3,76
Pike County,AR ,Mod-High,90.5,41.6,43.9,47.8,50.3,70.4
Poinsett County,AR ,High,90.5,44.4,47.5,51.9,53.6,70.7
Polk County,AR ,High,90.5,35.1,37.2,40.7,42.9,51.1
Pope County,AR ,High,90.5,49.2,52.5,56.7,57.8,75.5
Prairie County,AR ,Mod-High,90.5,42.8,45.2,49.2,50.9,59.6
Pulaski County,AR ,Mod-High,90.5,57.6,61.6,65.4,66.1,79.8
Randolph County,AR ,Mod-High,90.5,40.2,43,47.1,49.5,67.2
Saline County,AR ,Low-Mod,90.5,50,53,57,57.4,62.8
Scott County,AR ,High,90.5,47.6,50.6,55.4,58.1,64.5
Searcy County,AR ,Low-Mod,90.5,38.7,40.7,44,45.8,62.9
Sebastian County,AR ,High,90.5,49,52.5,56.8,58.1,69.3
Sevier County,AR ,High,90.5,45.1,48.7,54.6,57.4,70.9
Sharp County,AR ,Mod-High,90.5,38.4,40.7,43.7,45.2,59.4
St. Francis County,AR ,High,90.5,49.7,52.9,57,59.9,78
Stone County,AR ,Mod-High,90.5,36,37.9,40.6,42.4,55.4
Union County,AR ,High,90.5,48.5,51.9,56.8,59.1,77.7
Van Buren County,AR ,Mod-High,90.5,41.4,43.5,46.6,48.9,65.6
Washington County,AR ,Mod-High,90.5,55,58.9,62.7,62.9,81.5
White County,AR ,Mod-High,90.5,43.9,46.6,50.8,52.5,77
Woodruff County,AR ,High,90.5,56,59.3,64.4,66.5,81.1
Yell County,AR ,High,90.5,48.3,51.5,56.2,57.8,67.9
Alameda County,CA ,Low-Mod,97.5,81.4,86.2,88.3,87.8,93.3
Alpine County,CA ,Mod-High,N/A,N/A,N/A,N/A,N/A,N/A
Amador County,CA ,Mod-High,97.5,52.7,54.9,57.8,59.1,79.7
Butte County,CA ,High,97.5,53.2,56.3,59.8,61.1,78.3
Calaveras County,CA ,Low,97.5,53.5,56,59.5,61.7,78.3
Colusa County,CA ,Mod-High,97.5,60.1,64.6,71.2,74.3,82.6
Contra Costa County,CA ,Low-Mod,97.5,81.1,85.8,89.3,89.4,95
Del Norte County,CA ,High,97.5,42.7,45,48.2,49.7,71.1
El Dorado County,CA ,Low,97.5,62.2,65.1,68.7,70.1,83.3
Fresno County,CA ,High,97.5,60.4,65.3,71.4,73.1,87.6
Glenn County,CA ,High,97.5,54.7,58.9,64.7,67,88.4
Humboldt County,CA ,High,97.5,65.3,68.8,71.7,72.3,87.5
Imperial County,CA ,High,97.5,89.3,95,95,95,94.1
Inyo County,CA ,Mod-High,N/A,N/A,N/A,N/A,N/A,N/A
Kern County,CA ,High,97.5,53,57.3,63.2,64.8,81.4
Kings County,CA ,High,97.5,49.7,53.8,59.1,60.3,76.2
Lake County,CA ,High,97.5,58.6,62.3,67.3,69.6,80.1
Lassen County,CA ,Mod-High,97.5,37.3,39.2,41.9,43.4,75.6
Los Angeles County,CA ,High,97.5,71.4,75.7,80,80,85.1
Madera County,CA ,High,97.5,53.2,57.4,62.5,63.9,80.7
Marin County,CA ,Low-Mod,97.5,88,92.1,94,93.7,92.7
Mariposa County,CA ,Mod-High,N/A,N/A,N/A,N/A,N/A,N/A
Mendocino County,CA ,High,97.5,67,71,76,77.7,86.1
Merced County,CA ,High,97.5,49.4,53.5,59.3,61.8,79.8
Modoc County,CA ,High,N/A,N/A,N/A,N/A,N/A,N/A
Mono County,CA ,Low,N/A,N/A,N/A,N/A,N/A,N/A
Monterey County,CA ,High,97.5,71.4,76.6,82.3,82.9,86
Napa County,CA ,Mod-High,97.5,77.2,81.1,84.5,84.9,91.2
Nevada County,CA ,Low,97.5,63.2,66,68.7,69.7,77.8
Orange County,CA ,Low-Mod,97.5,71.1,75.5,79.6,80.3,89.3
Placer County,CA ,Low,97.5,67.1,70.8,74.6,76,90.6
Plumas County,CA ,Low-Mod,N/A,N/A,N/A,N/A,N/A,N/A
Riverside County,CA ,High,97.5,58.2,62.2,67.2,68.8,83.3
Sacramento County,CA ,Mod-High,97.5,66.9,71.3,75.4,76.4,89.7
San Benito County,CA ,Mod-High,97.5,66.1,70.7,75.1,75.7,83.3
San Bernardino County,CA ,High,97.5,57.2,61.5,66.9,68.7,83.6
San Diego County,CA ,Mod-High,97.5,69.5,74,77.6,78,84.4
San Francisco County,CA ,Low-Mod,97.5,82.9,86.8,87.6,86.8,89.4
San Joaquin County,CA ,High,97.5,57.7,62,67.4,69.5,84.4
San Luis Obispo County,CA ,Low-Mod,97.5,60.1,62.9,65.6,66,80.3
San Mateo County,CA ,Low-Mod,97.5,83.1,88,90,89.7,93
Santa Barbara County,CA ,Mod-High,97.5,70.3,74.9,79.6,80.3,91.5
Santa Clara County,CA ,Low-Mod,97.5,85.5,90.7,93.6,93.6,95
Santa Cruz County,CA ,Mod-High,97.5,77.7,81.8,84.8,84.4,95
Shasta County,CA ,Mod-High,97.5,49.4,52.5,56.7,59,78.8
Sierra County,CA ,Low,N/A,N/A,N/A,N/A,N/A,N/A
Siskiyou County,CA ,Mod-High,97.5,52.9,55.7,60.1,62.6,78.7
Solano County,CA ,Mod-High,97.5,67,71.3,75.7,76.5,85.6
Sonoma County,CA ,Low-Mod,97.5,77.3,81.2,84.4,84.8,90.7
Stanislaus County,CA ,High,97.5,53.2,57.3,62.9,64.9,80.7
Sutter County,CA ,High,97.5,60.4,64.9,70.7,73.1,87.8
Tehama County,CA ,High,97.5,42.3,45,49.1,51.2,64.9
Trinity County,CA ,Mod-High,N/A,N/A,N/A,N/A,N/A,N/A
Tulare County,CA ,High,97.5,53.2,57.7,64.3,66.7,81.2
Tuolumne County,CA ,Low-Mod,97.5,55.6,58.2,61.6,63.6,85.6
Ventura County,CA ,Low-Mod,97.5,71.4,75.7,80.8,81.9,92
Yolo County,CA ,Mod-High,97.5,69.6,73.4,76.2,76.5,95
Yuba County,CA ,High,97.5,53.5,58,64.1,66.5,77.1
Adams County,CO ,Mod-High,97.1,67.5,72.5,77.9,79.4,92.2
Alamosa County,CO ,High,97.1,56,59.8,64.9,66.4,95
Arapahoe County,CO ,Low-Mod,97.1,67.5,71.9,75.8,76.4,89
Archuleta County,CO ,Low-Mod,97.1,56.9,59.5,63,65.2,83.4
Baca County,CO ,Mod-High,97.1,38.9,41.1,45.3,48,66.7
Bent County,CO ,High,97.1,26.5,27.5,29.1,28.9,40.6
Boulder County,CO ,Low,97.1,78,81.5,83.7,83.9,95
Broomfield County,CO ,Low,97.1,80.1,84.4,87.7,88.8,95
Chaffee County,CO ,Low,97.1,63.6,66.1,68.4,69.8,88.6
Cheyenne County,CO ,Low-Mod,97.1,32.7,34.8,39.3,42.2,61.3
Clear Creek County,CO ,Low,97.1,48.9,50.9,52.9,53.1,66
Conejos County,CO ,High,97.1,49.1,52.3,56.9,58.8,79.7
Costilla County,CO ,High,97.1,59.8,62.8,66.6,68.7,81.3
Crowley County,CO ,High,97.1,21.5,22,22.9,23.2,56.5
Custer County,CO ,Low,97.1,48.1,49.9,52.6,54.5,76.7
Delta County,CO ,Mod-High,97.1,47.3,49.6,53.2,56,79.2
Denver County,CO ,Low-Mod,97.1,75.2,79.8,82.8,83.1,86.7
Dolores County,CO ,Low,97.1,41.6,43.2,46.8,50,62.3
Douglas County,CO ,Low,97.1,72.9,77.3,81.5,83.1,95
Eagle County,CO ,Low,97.1,81.7,86.4,90.9,92.7,95
El Paso County,CO ,Low-Mod,97.1,63.7,68.2,73.4,75.2,90.4
